id,name,moneycontrol_link,Score,Sr.no
500164,GODREJ INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/godrejindustries/GI23,,126
532827,PAGE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/pageindustries/PI35,,127
500116,IDBI BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/idbibank/IDB05,,128
534309,NBCC (India) Ltd,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/nbccindia/NBC01,,129
532483,CANARA BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06,,130
513683,NEYVELI LIGNITE CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nlcindia/NLC,,131
540065,RBL BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/rblbank/RB03,,132
532331,AJANTA PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,,133
500260,THE RAMCO CEMENTS LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/theramcocements/MC,,134
511243,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/cholamandalaminvestmentfinancecompany/CDB,,135
531500,RAJESH EXPORTS LTD.,http://www.moneycontrol.com/india/stockpricequote/diamond-cutting-jewellery-precious-metals/rajeshexports/RE07,,136
500271,MAX FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/maxfinancialservices/MI,,137
500008,AMARA RAJA BATTERIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/amararajabatteries/ARB,,138
500092,CRISIL LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,,139
500390,RELIANCE INFRASTRUCTURE LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/relianceinfrastructure/RI38,,140
506285,BAYER CROPSCIENCE LTD.,http://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/bayercropscience/BC12,,141
500770,TATA CHEMICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,,142
500469,FEDERAL BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,,143
532514,INDRAPRASTHA GAS LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/indraprasthagas/IG04,,144
532234,NATIONAL ALUMINIUM CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,,145
507815,GILLETTE INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/gilletteindia/GI22,,146
533206,SJVN LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/sjvn/S11,,147
